"materials","brand","model"
"Aluminium alloy","Apple","iPad Pro 12.9 Wi-Fi (2021)"
"Aluminium alloy","Apple","iPad Pro 12.9 (2021)"
"Aluminium alloy","Apple","iPad Pro 11 Wi-Fi (2021)"
"Aluminium alloy","Apple","iPad Pro 11 (2021)"
"Aluminium alloy","Apple","iPad (2020) Wi-Fi"
"Aluminium alloy","Apple","iPad (2020)"
"Aluminium alloy","Apple","iPad Air (2020) Wi-Fi"
"Aluminium alloy","Apple","iPad Air (2020)"
"Glass, Aluminium alloy","Apple","iPhone 12"
"Glass, Aluminium alloy","Apple","iPhone 12 mini"
"Aluminium alloy, Glass","Apple","iPhone SE (2020)"
"Glass, Stainless steel","Apple","iPhone 12 Pro Max"
"Glass, Stainless steel","Apple","iPhone 12 Pro"
"Aluminium alloy","Apple","iPad Pro 12.9 (2020) Wi-Fi"
"Aluminium alloy","Apple","iPad Pro 12.9 (2020)"
"Aluminium alloy","Apple","iPad Pro 11 (2020) Wi-Fi"
"Aluminium alloy","Apple","iPad Pro 11 (2020)"
"Glass, Stainless steel","Apple","iPhone 11 Pro Max"
"Glass, Stainless steel","Apple","iPhone 11 Pro"
"Glass, Aluminium alloy","Apple","iPhone 11"
"Aluminium alloy","Apple","iPad Air (2019) Wi-Fi"
"Aluminium alloy","Apple","iPad Air (2019)"
"Aluminium alloy","Apple","iPad mini 5 Wi-Fi"
"Aluminium alloy","Apple","iPad mini 5"
"Aluminium alloy","Apple","iPad Pro 12.9 (2018) Wi-Fi"
"","Apple","iPad Pro 12.9 (2018)"
"Aluminium alloy","Apple","iPad Pro 11 (2018) Wi-Fi"
"Aluminium alloy","Apple","iPad Pro 11 (2018)"
"Stainless steel, Glass","Apple","iPhone XS Max"
"Stainless steel, Glass","Apple","iPhone XS"
"Glass, Aluminium alloy","Apple","iPhone XR"
"","Apple","iPad 9.7 (2018) Wi-Fi"
"","Apple","iPad 9.7 (2018)"
"Stainless steel, Glass","Apple","iPhone X"
"Aluminium alloy, Glass","Apple","iPhone 8 Plus"
"Aluminium alloy, Glass","Apple","iPhone 8"
"Aluminium alloy","Apple","iPad Pro 2 12.9 Wi-Fi"
"Aluminium alloy","Apple","iPad Pro 2 12.9"
"Aluminium alloy","Apple","iPad Pro 2 10.5 Wi-Fi"
"","Apple","iPad Pro 2 10.5"
"Aluminium alloy","Apple","iPad 9.7 Wi-Fi"
"Aluminium alloy","Apple","iPad 9.7"
"Aluminium alloy","Apple","iPhone 7 Plus"
"Aluminium alloy","Apple","iPhone 7"
"Aluminium alloy","Apple","iPad Pro 9.7 Wi-Fi"
"Aluminium alloy","Apple","iPad Pro 9.7"
"Aluminium alloy","Apple","iPhone SE"
"Aluminium alloy","Apple","iPad mini 4"
"Aluminium alloy","Apple","iPhone 6s Plus"
"Aluminium alloy","Apple","iPad Pro Wi-Fi"
"Aluminium alloy","Apple","iPad Pro"
"Aluminium alloy","Apple","iPhone 6s"
"Aluminium alloy","Apple","iPad Air 2"
"Aluminium alloy","Apple","iPad mini 3"
"Aluminium alloy, Glass","Apple","iPhone 6 Plus"
"Aluminium alloy, Glass","Apple","iPhone 6"
"Aluminium alloy","Apple","iPad Air"
"Aluminium alloy","Apple","iPad mini 2"
"Polycarbonate","Apple","iPhone 5c"
"Aluminium alloy, Glass","Apple","iPhone 5s"
"","Apple","iPad 4 Wi-Fi + 4G"
"","Apple","iPad 4 Wi-Fi"
"","Apple","iPad mini Wi-Fi + Cellular"
"","Apple","iPad mini Wi-Fi"
"","Apple","iPhone 5"
"","Apple","iPad 3 Wi-Fi + 4G"
"","Apple","iPad 3 Wi-Fi"
"","Apple","iPhone 4S"
"","Apple","iPad 2 Wi-Fi"
"","Apple","iPad 2 Wi-Fi + 3G"
"","Apple","iPad 2 CDMA"
"","Apple","iPhone 4 CDMA"
"","Apple","iPhone 4"
"","Apple","iPad Wi-Fi + 3G"
"","Apple","iPad Wi-Fi"
"","Apple","iPhone 3GS"
"","Apple","iPhone 3G"
"","Apple","iPhone"